sentence,classification,prev2,prev1,next1,next2
"I just wanted to mention that I actually was- I apologize, it was late.",i,"So, Thank you, Awesome Thanks guys.","Councilwoman Kale-Smith, I just real briefly.","I was actually meeting with Kevin Quigley about red up stuff and trying to understand a little bit about what they did differently, And one of the things we talked about is maybe putting some of the trash collections instead of the alleys in Sheridan.","You see that they're- I mean they're- constantly overflowed with trash, Is maybe just moving the trash to the front again of the homes."
"I was actually meeting with Kevin Quigley about red up stuff and trying to understand a little bit about what they did differently, And one of the things we talked about is maybe putting some of the trash collections instead of the alleys in Sheridan.",i,"Councilwoman Kale-Smith, I just real briefly.","I just wanted to mention that I actually was- I apologize, it was late.","You see that they're- I mean they're- constantly overflowed with trash, Is maybe just moving the trash to the front again of the homes.",So I didn't know if that was something we could look into.
"You see that they're- I mean they're- constantly overflowed with trash, Is maybe just moving the trash to the front again of the homes.",i,"I just wanted to mention that I actually was- I apologize, it was late.","I was actually meeting with Kevin Quigley about red up stuff and trying to understand a little bit about what they did differently, And one of the things we talked about is maybe putting some of the trash collections instead of the alleys in Sheridan.",So I didn't know if that was something we could look into.,"I don't know, I don't know if that's something we can look into and see."
So I didn't know if that was something we could look into.,i,"I was actually meeting with Kevin Quigley about red up stuff and trying to understand a little bit about what they did differently, And one of the things we talked about is maybe putting some of the trash collections instead of the alleys in Sheridan.","You see that they're- I mean they're- constantly overflowed with trash, Is maybe just moving the trash to the front again of the homes.","I don't know, I don't know if that's something we can look into and see.","do some kind of, you know, observation or pilot program to see if it works better, that there'd be less trash on those streets."
"I don't know, I don't know if that's something we can look into and see.",i,"You see that they're- I mean they're- constantly overflowed with trash, Is maybe just moving the trash to the front again of the homes.",So I didn't know if that was something we could look into.,"do some kind of, you know, observation or pilot program to see if it works better, that there'd be less trash on those streets.",But Sheridan does their own you know trash program that they have and they do an amazing job.
"do some kind of, you know, observation or pilot program to see if it works better, that there'd be less trash on those streets.",i,So I didn't know if that was something we could look into.,"I don't know, I don't know if that's something we can look into and see.",But Sheridan does their own you know trash program that they have and they do an amazing job.,but they shouldn't have to.
But Sheridan does their own you know trash program that they have and they do an amazing job.,i,"I don't know, I don't know if that's something we can look into and see.","do some kind of, you know, observation or pilot program to see if it works better, that there'd be less trash on those streets.",but they shouldn't have to.,They really shouldn't have to.
but they shouldn't have to.,i,"do some kind of, you know, observation or pilot program to see if it works better, that there'd be less trash on those streets.",But Sheridan does their own you know trash program that they have and they do an amazing job.,They really shouldn't have to.,But one of the things I keep getting requests for repeatedly is additional trash cans on Grandview Avenue.
They really shouldn't have to.,i,But Sheridan does their own you know trash program that they have and they do an amazing job.,but they shouldn't have to.,But one of the things I keep getting requests for repeatedly is additional trash cans on Grandview Avenue.,And is that your decision or whose decision would that be?
But one of the things I keep getting requests for repeatedly is additional trash cans on Grandview Avenue.,p,but they shouldn't have to.,They really shouldn't have to.,And is that your decision or whose decision would that be?,"You know we, we have a protocol in place to evaluate those."
